StudyHours,Attendance,PastScore,Internet,SleepHours,Passed
8,64,86,No,6,Yes
4,42,36,Yes,6,No
7,62,54,No,9,No
7,56,79,No,7,Yes
8,82,21,Yes,8,No
9,66,71,No,3,Yes
8,99,49,Yes,6,Yes
10,43,96,Yes,7,Yes
5,42,38,Yes,9,No
7,64,92,No,4,Yes
8,64,81,Yes,8,Yes
3,87,93,Yes,6,Yes
10,100,37,Yes,6,Yes
3,81,36,No,10,No
8,45,32,No,3,No
7,97,77,No,6,Yes
5,99,76,Yes,8,Yes
7,59,77,Yes,8,Yes
3,63,31,No,3,No
7,42,20,No,10,No
1,66,59,Yes,10,No
1,68,53,Yes,9,No
3,64,62,No,4,No
8,100,70,No,3,Yes
2,49,33,Yes,7,No
4,81,58,No,6,No
4,60,66,Yes,5,No
2,48,33,No,7,No
3,40,93,Yes,6,No
1,60,44,Yes,9,No
8,41,28,No,5,No
6,93,90,No,4,Yes
6,45,77,No,9,Yes
10,49,87,Yes,5,Yes
5,54,34,No,10,No
4,85,23,Yes,9,No
7,54,60,Yes,10,Yes
10,64,67,Yes,10,Yes
2,85,22,Yes,4,No
8,82,89,Yes,8,Yes
5,42,69,Yes,8,No
9,54,47,Yes,3,No
6,71,74,No,4,No
4,47,89,Yes,4,No
2,95,92,Yes,4,No
10,57,72,Yes,4,Yes
2,100,46,Yes,3,No
6,48,63,Yes,9,No
7,55,21,No,10,No
3,85,57,No,9,No
3,48,75,Yes,5,No
3,71,76,No,3,No
2,86,59,Yes,10,No
8,87,65,Yes,9,Yes
2,45,80,Yes,4,No
10,62,50,Yes,10,Yes
10,81,67,Yes,6,Yes
3,63,74,No,5,No
4,67,88,No,5,No
8,68,89,No,5,Yes
2,95,56,No,8,No
1,49,73,Yes,4,No
5,99,34,No,6,No
9,84,64,Yes,9,Yes
9,41,65,No,7,No
6,69,96,Yes,6,Yes
8,91,39,No,8,Yes
2,55,34,Yes,6,No
4,60,72,No,4,No
3,68,33,Yes,10,No
4,51,51,Yes,8,No
10,70,41,Yes,6,No
2,86,74,Yes,5,No
8,97,62,No,10,Yes
4,42,49,Yes,4,No
6,100,33,No,3,No
7,87,57,No,9,Yes
2,89,57,Yes,7,No
3,52,83,Yes,7,No
6,55,28,No,3,No
4,62,59,Yes,6,No
5,69,42,No,5,No
8,47,64,No,10,Yes
9,68,47,Yes,3,No
9,54,99,No,3,Yes
3,65,89,No,4,No
5,46,20,No,6,No
10,59,34,No,7,No
7,61,71,No,8,Yes
7,83,93,Yes,5,Yes
8,60,68,Yes,6,Yes
2,84,30,No,3,No
8,40,79,No,7,Yes
3,91,29,No,8,No
2,68,59,Yes,5,No
5,44,27,No,10,No
10,63,52,No,8,Yes
6,42,100,Yes,6,Yes
8,56,99,Yes,7,Yes
10,69,64,No,8,Yes
9,53,80,No,7,Yes
7,47,28,Yes,7,No
8,89,43,Yes,4,No
4,89,42,No,10,No
4,77,59,No,10,No
6,89,55,No,4,No
1,79,99,No,6,No
10,63,41,No,5,No
9,94,89,No,9,Yes
5,64,24,Yes,3,No
7,98,28,Yes,7,No
5,59,70,Yes,9,No
1,57,96,Yes,5,No
1,99,59,No,5,No
10,51,52,Yes,8,Yes
1,45,29,No,4,No
4,50,69,Yes,9,No
10,43,63,No,3,No
5,41,86,No,10,Yes
5,66,78,Yes,3,No
10,68,53,Yes,5,Yes
1,47,46,No,9,No
3,98,40,No,8,No
3,79,83,No,9,Yes
7,73,49,No,8,No
10,79,39,No,7,Yes
4,77,85,Yes,5,No
8,74,37,No,4,No
2,83,61,No,7,No
3,94,77,No,9,Yes
1,41,52,No,7,No
6,80,40,Yes,5,No
4,41,63,Yes,5,No
1,68,24,Yes,4,No
2,99,48,No,4,No
10,80,98,Yes,9,Yes
4,46,20,No,6,No
10,80,28,No,10,Yes
5,52,41,No,8,No
9,47,50,No,8,No
8,47,38,Yes,10,No
5,47,43,No,4,No
10,71,78,No,9,Yes
2,50,86,Yes,9,No
5,99,60,Yes,5,No
1,80,64,Yes,7,No
3,42,83,No,3,No
1,79,55,Yes,9,No
3,62,55,Yes,8,No
4,57,33,Yes,4,No
8,82,94,Yes,6,Yes
5,64,94,Yes,3,No
3,75,71,No,10,No
6,47,92,No,3,No
3,68,47,Yes,7,No
9,89,25,No,5,No
3,80,22,No,3,No
4,89,54,Yes,3,No
5,74,70,Yes,8,Yes
9,47,30,No,3,No
6,58,20,No,10,No
9,43,45,No,8,No
2,84,57,Yes,4,No
2,98,55,No,8,No
4,76,61,No,10,No
9,88,87,No,5,Yes
7,77,68,Yes,8,Yes
3,76,28,No,8,No
4,51,25,Yes,5,No
5,85,59,Yes,3,No
2,59,100,Yes,9,Yes
2,84,63,No,4,No
10,95,96,Yes,5,Yes
6,78,69,Yes,4,No
1,73,96,No,9,Yes
5,83,75,No,6,Yes
7,92,99,No,9,Yes
9,68,35,No,4,No
3,98,67,No,6,No
9,55,20,No,5,No
3,85,51,No,3,No
4,60,88,No,7,No
3,62,41,No,5,No
4,84,47,No,5,No
8,87,60,Yes,9,Yes
5,50,44,No,6,No
3,74,95,Yes,7,Yes
5,51,33,No,6,No
7,44,60,Yes,4,No
10,96,47,No,6,Yes
9,44,30,No,8,No
8,42,43,No,8,No
8,40,75,No,8,Yes
5,61,100,Yes,10,Yes
5,78,78,Yes,9,Yes
6,89,54,Yes,5,No
6,41,58,No,6,No
8,60,65,No,10,Yes
10,62,83,No,9,Yes
2,72,41,Yes,8,No
8,78,51,No,6,No
10,50,24,Yes,7,No
9,62,84,No,9,Yes
8,69,92,No,4,Yes
5,55,70,Yes,8,No
1,81,21,Yes,6,No
3,99,82,Yes,4,No
6,75,33,Yes,4,No
3,86,96,Yes,5,Yes
8,88,41,Yes,10,Yes
2,63,53,No,8,No
4,62,67,Yes,7,No
10,45,98,No,10,Yes
3,51,50,Yes,7,No
10,90,60,No,7,Yes
4,99,44,No,9,No
10,44,81,Yes,7,Yes
9,53,97,No,7,Yes
7,78,78,Yes,7,Yes
1,73,81,Yes,7,No
6,89,31,No,4,No
5,40,85,Yes,4,No
5,42,40,Yes,5,No
5,65,81,No,9,Yes
6,83,100,Yes,9,Yes
1,42,65,Yes,3,No
7,59,63,No,5,No
5,94,53,Yes,9,Yes
10,82,26,No,5,No
6,96,69,No,3,Yes
4,59,39,No,6,No
6,47,76,Yes,10,Yes
8,80,83,No,10,Yes
8,98,22,Yes,4,No
5,86,47,No,7,No
6,72,74,Yes,9,Yes
3,81,76,Yes,4,No
9,48,27,No,9,No
2,88,71,No,6,No
4,91,66,Yes,8,Yes
4,87,65,Yes,8,Yes
5,66,91,Yes,4,No
4,42,100,No,9,Yes
7,82,23,No,3,No
9,85,55,Yes,6,Yes
3,94,33,Yes,4,No
10,64,44,Yes,7,Yes
8,40,81,Yes,4,No
5,83,48,Yes,9,No
3,89,39,Yes,9,No
8,51,45,Yes,6,No
5,69,50,No,10,No
6,65,84,No,8,Yes
7,55,68,Yes,4,No
5,56,100,Yes,6,Yes
9,68,34,Yes,3,No
10,78,98,No,6,Yes
9,68,85,Yes,6,Yes
4,76,80,Yes,6,No
4,90,68,Yes,4,No
6,80,32,No,8,No
5,80,59,Yes,9,Yes
2,95,87,No,4,No
9,68,60,No,10,Yes
5,77,61,No,8,No
10,47,47,Yes,5,No
3,100,39,Yes,5,No
4,86,21,No,4,No
3,53,34,No,3,No
1,58,70,No,3,No
2,78,40,No,10,No
3,76,31,No,5,No
4,76,64,No,8,No
6,67,57,Yes,5,No
3,58,40,No,3,No
2,62,80,No,7,No
1,41,37,Yes,10,No
10,97,27,No,3,No
10,78,95,Yes,5,Yes
9,82,40,Yes,6,No
6,74,31,No,6,No
7,56,28,No,5,No
8,65,60,Yes,8,Yes
1,40,74,Yes,7,No
6,55,50,No,7,No
6,79,37,Yes,3,No
10,67,34,Yes,9,Yes
5,50,28,Yes,6,No
2,87,32,Yes,4,No
9,50,91,Yes,8,Yes
9,62,74,No,10,Yes
4,88,100,No,9,Yes
1,86,75,Yes,9,No
6,54,56,No,3,No
6,97,45,No,8,Yes
4,47,59,No,10,No
5,77,47,Yes,5,No
10,82,100,Yes,4,Yes
6,74,45,No,4,No
5,50,73,Yes,10,No
6,78,29,Yes,10,No
6,40,42,Yes,6,No
8,54,51,Yes,5,No
8,84,83,Yes,4,Yes
3,44,37,Yes,3,No
8,78,30,Yes,8,No
3,81,65,Yes,7,No
2,59,27,Yes,8,No
2,97,99,Yes,7,Yes
3,91,53,No,8,No
5,42,59,Yes,8,No
8,84,26,No,7,No
10,51,79,No,4,Yes
9,81,35,Yes,3,No
5,80,71,Yes,8,Yes
7,99,89,No,3,Yes
8,81,64,No,6,Yes
9,51,92,Yes,4,Yes
9,73,35,Yes,10,Yes
6,79,74,Yes,3,No
9,41,90,No,6,Yes
6,47,97,Yes,8,Yes
3,51,71,Yes,8,No
4,100,22,Yes,8,No
10,96,28,Yes,5,Yes
8,50,70,No,8,Yes
10,77,32,Yes,6,No
4,79,50,Yes,6,No
1,83,89,Yes,4,No
10,67,73,Yes,3,Yes
4,80,44,No,5,No
8,68,45,No,6,No
6,49,72,Yes,9,No
9,58,77,Yes,3,Yes
10,59,59,No,8,Yes
9,54,59,No,9,Yes
4,77,50,No,10,No
5,50,35,No,7,No
6,63,90,No,10,Yes
2,92,82,Yes,8,Yes
6,56,23,Yes,10,No
3,100,64,No,8,Yes
9,64,32,Yes,9,No
10,81,54,No,7,Yes
1,46,33,Yes,5,No
5,66,91,No,10,Yes
10,75,100,Yes,9,Yes
1,84,68,Yes,3,No
4,49,56,No,6,No
8,48,29,Yes,6,No
2,65,81,No,5,No
9,87,41,Yes,5,No
4,82,80,Yes,7,Yes
6,69,77,Yes,3,No
1,80,88,No,7,No
3,85,57,No,8,No
10,71,80,No,5,Yes
3,82,75,No,9,Yes
4,48,34,Yes,5,No
8,98,32,Yes,8,Yes
9,87,85,Yes,8,Yes
7,89,93,Yes,7,Yes
8,100,80,No,10,Yes
2,81,42,No,3,No
9,42,94,Yes,4,Yes
5,75,86,Yes,9,Yes
4,60,87,Yes,6,No
7,75,43,Yes,5,No
8,66,87,No,3,Yes
8,85,44,No,9,Yes
3,69,78,No,6,No
6,44,88,No,3,No
8,62,33,No,6,No
10,69,24,No,7,No
5,84,23,No,4,No
10,41,52,Yes,9,Yes
8,75,99,Yes,5,Yes
1,70,51,No,4,No
7,40,53,No,7,No
8,59,96,Yes,9,Yes
1,74,63,Yes,10,No
9,89,91,No,6,Yes
7,42,51,No,3,No
5,87,78,No,8,Yes
5,53,49,No,8,No
2,73,72,Yes,10,No
10,88,97,No,3,Yes
5,53,64,Yes,7,No
6,86,65,Yes,3,No
1,45,52,Yes,5,No
1,67,26,Yes,9,No
3,66,40,Yes,3,No
5,97,37,Yes,10,No
6,80,77,No,9,Yes
2,59,38,Yes,5,No
9,74,22,Yes,6,No
3,93,49,No,5,No
6,99,63,No,7,Yes
2,62,69,Yes,5,No
8,42,35,No,3,No
1,82,76,Yes,9,No
3,69,39,No,9,No
2,41,93,No,9,No
9,79,25,Yes,10,Yes
5,85,29,Yes,6,No
5,88,77,Yes,10,Yes
9,66,82,No,8,Yes
4,52,37,Yes,8,No
5,68,25,Yes,10,No
4,67,27,Yes,7,No
7,82,59,Yes,6,Yes
9,42,73,No,3,No
3,54,42,Yes,5,No
3,87,86,No,10,Yes
3,86,66,Yes,8,No
7,81,72,No,10,Yes
6,66,60,Yes,8,No
10,65,36,No,6,No
2,96,53,No,4,No
4,40,38,No,9,No
9,65,74,Yes,7,Yes
4,98,56,No,7,No
9,67,74,No,4,Yes
1,59,95,No,5,No
7,91,79,Yes,9,Yes
6,100,57,No,10,Yes
6,51,32,Yes,10,No
7,95,97,No,7,Yes
9,55,45,No,6,No
8,46,50,No,5,No
1,72,84,Yes,5,No
6,86,41,Yes,6,No
3,93,97,Yes,7,Yes
5,67,100,No,6,Yes
9,68,98,Yes,7,Yes
2,75,24,Yes,4,No
3,48,85,Yes,3,No
8,74,59,No,10,Yes
10,100,70,No,9,Yes
3,92,36,No,10,No
10,72,30,No,9,Yes
7,94,50,No,8,Yes
9,52,37,Yes,3,No
5,73,95,No,3,Yes
5,98,53,Yes,4,No
4,89,66,No,3,No
5,52,31,No,5,No
4,70,81,Yes,5,No
8,61,22,No,9,No
4,45,31,No,4,No
6,94,34,No,10,No
9,100,53,Yes,7,Yes
5,68,85,Yes,4,No
4,56,35,No,9,No
6,58,96,Yes,7,Yes
4,49,95,Yes,5,No
4,98,42,Yes,7,No
5,41,33,No,9,No
5,66,94,No,9,Yes
3,41,40,Yes,10,No
5,68,30,No,4,No
5,80,53,Yes,7,No
7,43,86,Yes,3,No
7,48,52,Yes,6,No
2,98,33,Yes,4,No
4,63,67,Yes,9,No
4,82,72,No,3,No
3,67,46,No,8,No
9,48,82,No,8,Yes
5,47,73,Yes,8,No
3,75,35,No,3,No
1,57,34,Yes,5,No
1,89,30,No,7,No
7,44,20,Yes,9,No
6,49,36,No,5,No
6,71,21,No,4,No
7,83,98,Yes,7,Yes
5,80,78,Yes,3,No
4,53,74,No,3,No
6,77,55,No,3,No
2,91,70,No,3,No
5,74,58,No,9,No
6,92,28,Yes,7,No
7,57,26,No,6,No
1,99,97,Yes,7,Yes
1,61,67,No,7,No
5,68,88,No,8,Yes
10,68,77,Yes,6,Yes
9,70,97,Yes,3,Yes
6,97,98,Yes,6,Yes
2,78,75,No,7,No
2,80,96,No,7,Yes
7,43,49,No,3,No
3,68,75,No,7,No
9,53,61,Yes,3,No
1,99,60,No,5,No
6,70,61,Yes,10,Yes
2,88,66,No,10,No
2,84,31,Yes,10,No
1,62,35,Yes,9,No
10,57,43,Yes,10,Yes
3,95,24,No,7,No
1,48,38,Yes,4,No
2,49,37,No,4,No
5,43,29,No,9,No
8,40,52,Yes,6,No
2,41,36,Yes,4,No
1,62,64,Yes,9,No
7,99,77,Yes,7,Yes
2,46,41,No,9,No
7,73,32,Yes,8,No
1,91,77,Yes,10,Yes
9,62,94,Yes,9,Yes
5,43,55,Yes,6,No
1,74,82,No,9,No
5,97,69,No,4,No
5,46,27,Yes,10,No
5,89,69,No,7,Yes
2,48,86,No,4,No
1,58,55,No,5,No
5,65,26,Yes,5,No
2,47,95,No,10,No
5,57,37,No,5,No
4,69,40,Yes,5,No
7,99,49,Yes,5,Yes
1,96,35,Yes,8,No
3,68,46,No,7,No
5,71,32,No,5,No
9,41,96,Yes,8,Yes
1,53,90,No,7,No
3,42,64,No,10,No
10,67,52,No,4,No
4,46,40,Yes,9,No
1,100,21,Yes,6,No
8,99,62,Yes,9,Yes
5,45,89,Yes,4,No
7,81,31,Yes,3,No
5,41,60,No,9,No
3,45,50,No,10,No
6,77,87,Yes,3,Yes
10,56,65,Yes,10,Yes
8,88,31,No,10,Yes
9,56,77,No,7,Yes
8,40,75,No,3,No
4,98,87,No,4,Yes
7,62,61,No,4,No
9,82,97,No,4,Yes
8,61,42,No,5,No
8,59,27,No,4,No
5,47,77,Yes,9,No
9,68,67,Yes,6,Yes
4,58,32,No,6,No
1,50,85,No,7,No
2,40,31,No,9,No
2,72,41,No,8,No
5,44,74,Yes,6,No
10,44,72,Yes,9,Yes
3,71,57,Yes,8,No
9,79,90,No,7,Yes
6,65,46,No,5,No
2,61,71,No,6,No
3,50,81,No,9,No
7,58,91,Yes,8,Yes
5,65,25,Yes,6,No
1,75,44,No,5,No
1,79,53,No,8,No
4,71,90,Yes,10,Yes
2,44,43,Yes,7,No
8,66,52,No,5,No
9,75,77,Yes,8,Yes
9,69,79,Yes,6,Yes
2,69,34,No,5,No
1,53,100,No,8,No
2,99,100,Yes,9,Yes
9,55,20,No,4,No
2,97,68,Yes,7,No
8,40,58,Yes,8,No
6,97,27,Yes,7,No
3,48,45,Yes,5,No
3,88,87,No,4,No
10,56,57,No,6,Yes
6,76,66,Yes,3,No
3,53,20,Yes,7,No
8,48,41,Yes,8,No
4,49,32,Yes,9,No
4,52,20,No,8,No
1,51,57,No,8,No
5,70,74,Yes,5,No
3,65,38,No,8,No
2,96,56,No,7,No
3,75,69,No,5,No
6,76,92,No,3,Yes
7,51,33,No,4,No
9,96,33,Yes,9,Yes
5,60,46,No,9,No
8,69,40,Yes,4,No
7,84,35,Yes,4,No
6,81,21,Yes,5,No
1,40,30,Yes,6,No
10,99,28,No,4,No
10,43,75,No,4,Yes
2,47,22,No,3,No
1,94,89,Yes,5,No
4,81,72,No,4,No
5,77,27,Yes,3,No
10,62,52,Yes,9,Yes
6,82,36,No,4,No
7,84,86,No,4,Yes
7,70,79,No,8,Yes
6,68,86,No,6,Yes
4,56,70,No,10,No
4,48,76,No,5,No
9,56,32,Yes,10,No
1,89,54,Yes,5,No
10,57,46,No,3,No
9,95,76,No,4,Yes
1,80,69,No,7,No
2,65,46,No,7,No
9,89,28,No,6,No
8,44,74,No,8,Yes
6,93,94,Yes,4,Yes
10,96,64,No,9,Yes
2,50,98,Yes,8,No
6,84,36,Yes,10,No
6,40,94,Yes,7,Yes
4,55,33,Yes,9,No
8,67,83,Yes,7,Yes
9,80,55,Yes,7,Yes
1,45,26,Yes,7,No
7,97,64,No,9,Yes
8,62,77,No,4,Yes
2,73,60,Yes,5,No
3,73,49,No,10,No
2,54,31,No,8,No
4,46,69,Yes,6,No
3,58,94,No,8,Yes
7,72,21,Yes,10,No
8,45,77,Yes,10,Yes
8,70,21,No,4,No
7,75,53,No,7,No
1,41,97,No,3,No
4,91,75,Yes,7,Yes
4,56,65,No,4,No
5,60,98,No,3,No
6,71,58,Yes,4,No
7,62,74,No,5,No
1,57,49,No,6,No
5,87,61,No,4,No
3,58,92,No,3,No
9,85,55,Yes,5,Yes
2,95,63,No,6,No
6,53,55,No,10,No
8,57,35,Yes,10,No
8,46,35,No,4,No
10,94,82,Yes,6,Yes
2,54,85,No,7,No
9,57,52,No,7,No
2,80,87,No,5,No
10,43,84,No,4,Yes
8,46,46,No,3,No
9,59,52,Yes,3,No
8,74,32,No,7,No
2,54,94,Yes,6,No
9,60,26,No,5,No
8,56,94,Yes,9,Yes
2,76,72,No,7,No
10,98,41,Yes,5,Yes
7,87,25,Yes,7,No
8,58,98,No,5,Yes
8,61,75,Yes,9,Yes
7,58,25,Yes,3,No
9,48,29,Yes,6,No
4,67,30,Yes,9,No
7,72,75,No,6,Yes
9,95,86,No,5,Yes
7,73,93,Yes,8,Yes
8,49,27,Yes,9,No
10,82,47,No,9,Yes
1,42,97,No,8,No
2,84,95,Yes,8,Yes
5,53,42,No,7,No
6,46,21,No,4,No
4,74,43,Yes,10,No
7,52,59,Yes,3,No
7,50,82,No,4,No
3,67,70,Yes,6,No
7,85,58,Yes,4,No
2,59,34,No,5,No
1,71,25,Yes,6,No
10,89,55,Yes,8,Yes
6,78,63,No,9,Yes
8,48,42,Yes,5,No
10,65,25,No,9,No
7,81,47,Yes,5,No
2,75,53,No,7,No
3,68,29,Yes,3,No
9,41,88,Yes,5,Yes
1,83,75,Yes,8,No
10,84,87,Yes,3,Yes
4,98,79,No,3,No
10,44,95,Yes,9,Yes
8,62,44,No,7,No
4,70,56,Yes,8,No
10,66,31,No,10,Yes
9,83,73,Yes,3,Yes
6,69,91,Yes,10,Yes
3,70,50,Yes,4,No
6,63,58,No,4,No
6,44,25,No,8,No
5,97,57,Yes,10,Yes
8,52,82,No,4,Yes
3,80,56,No,9,No
5,85,83,No,5,Yes
8,64,26,Yes,10,No
1,49,70,No,5,No
9,91,62,No,4,Yes
6,63,64,Yes,6,No
5,48,92,No,10,Yes
6,40,93,Yes,6,No
5,63,72,No,9,Yes
6,49,30,Yes,3,No
5,92,34,No,9,No
4,84,51,Yes,5,No
7,70,58,No,4,No
3,63,35,No,7,No
7,95,97,No,3,Yes
3,81,76,Yes,3,No
8,58,30,No,3,No
10,86,47,Yes,8,Yes
10,59,48,No,9,Yes
9,96,81,Yes,8,Yes
6,66,56,Yes,9,No
6,89,40,No,10,Yes
3,61,89,Yes,9,Yes
7,52,47,No,8,No
5,58,34,No,4,No
9,60,85,Yes,4,Yes
9,92,31,No,10,Yes
4,73,86,No,9,Yes
7,94,93,Yes,5,Yes
1,63,73,Yes,8,No
5,46,35,Yes,3,No
9,67,28,No,5,No
10,78,65,No,5,Yes
6,42,53,No,4,No
3,41,42,No,5,No
3,81,28,Yes,8,No
1,85,69,No,6,No
4,71,80,No,8,Yes
1,100,56,No,7,No
1,75,56,No,3,No
7,53,45,No,9,No
3,71,31,Yes,6,No
7,44,61,Yes,6,No
7,60,96,Yes,6,Yes
10,66,26,Yes,9,No
4,99,99,Yes,3,Yes
8,89,100,No,4,Yes
8,45,65,Yes,7,No
9,93,23,No,4,No
9,99,49,Yes,5,Yes
3,54,37,Yes,4,No
10,83,44,Yes,7,Yes
9,58,84,No,9,Yes
7,48,81,No,7,Yes
1,65,49,No,7,No
7,62,75,Yes,9,Yes
8,71,39,Yes,3,No
9,89,84,No,9,Yes
3,57,72,No,6,No
10,49,20,Yes,3,No
5,93,89,Yes,6,Yes
4,82,61,No,10,Yes
2,48,22,No,8,No
9,40,85,No,8,Yes
3,79,85,Yes,5,No
6,98,28,No,7,No
3,67,54,No,7,No
7,46,21,No,4,No
6,43,31,Yes,8,No
8,74,39,No,6,No
2,42,26,Yes,6,No
4,74,72,No,8,No
1,64,29,No,8,No
1,71,23,No,10,No
6,56,83,No,4,No
1,79,32,No,7,No
4,56,20,Yes,10,No
8,82,86,No,6,Yes
2,97,57,No,5,No
7,73,37,No,6,No
4,76,99,Yes,6,Yes
4,55,57,Yes,8,No
9,98,33,Yes,7,Yes
5,65,25,Yes,4,No
9,100,97,Yes,5,Yes
10,90,72,Yes,8,Yes
5,76,89,Yes,6,Yes
9,66,26,Yes,9,No
6,66,57,Yes,5,No
5,77,42,Yes,7,No
10,53,97,No,6,Yes
5,52,25,No,6,No
6,78,37,Yes,6,No
10,77,69,Yes,8,Yes
1,49,49,No,4,No
8,84,67,No,8,Yes
8,57,61,No,7,No
5,91,90,No,3,Yes
8,61,56,No,8,Yes
5,58,62,Yes,7,No
4,66,38,Yes,7,No
6,77,100,No,3,Yes
1,46,89,No,6,No
7,80,64,No,5,Yes
3,98,32,Yes,5,No
10,63,58,No,4,Yes
7,97,67,Yes,4,Yes
2,90,56,Yes,10,No
8,68,59,Yes,5,No
6,42,37,No,6,No
5,50,46,Yes,4,No
5,47,51,Yes,3,No
5,82,41,Yes,3,No
10,100,33,No,5,Yes
10,82,81,No,8,Yes
10,50,87,Yes,4,Yes
10,49,36,No,4,No
10,93,96,No,9,Yes
3,82,46,Yes,5,No
7,70,26,No,5,No
6,55,64,Yes,10,Yes
3,84,61,No,5,No
3,99,27,No,5,No
5,57,60,No,3,No
6,54,29,No,3,No
4,63,40,Yes,9,No
3,84,43,No,7,No
10,42,89,No,8,Yes
9,55,87,No,7,Yes
9,76,74,Yes,8,Yes
7,96,73,No,7,Yes
8,100,59,No,3,Yes
9,45,90,No,4,Yes
2,40,45,Yes,7,No
10,76,81,Yes,8,Yes
8,84,96,No,6,Yes
1,78,34,No,4,No
5,58,74,Yes,5,No
2,90,42,No,8,No
8,76,69,Yes,7,Yes
8,73,24,No,6,No
7,84,30,Yes,4,No
10,92,21,No,10,Yes
7,89,51,Yes,7,Yes
1,44,45,No,6,No
10,43,88,Yes,7,Yes
8,46,89,Yes,10,Yes
8,96,88,Yes,8,Yes
8,65,40,Yes,7,No
4,65,34,Yes,8,No
7,52,53,Yes,4,No
4,65,78,No,7,No
2,100,57,Yes,8,No
2,62,66,No,8,No
9,75,47,No,10,Yes
3,51,38,No,6,No
6,63,67,Yes,10,Yes
5,49,47,No,4,No
3,62,80,Yes,10,No
2,62,26,No,6,No
10,43,48,Yes,4,No
4,72,20,Yes,4,No
1,95,31,No,6,No
3,53,25,No,4,No
3,76,42,Yes,6,No
8,78,87,Yes,8,Yes
2,41,56,No,8,No
2,99,93,Yes,8,Yes
6,76,28,Yes,9,No
8,82,98,Yes,6,Yes
5,73,21,No,7,No
3,65,73,Yes,6,No
3,78,58,Yes,5,No
3,55,65,Yes,4,No
3,62,73,Yes,4,No
10,66,26,No,9,No
5,64,77,No,4,No
10,100,86,Yes,8,Yes
4,46,30,Yes,7,No
3,64,85,No,6,No
3,67,86,No,3,No
9,57,88,No,10,Yes
10,43,81,No,8,Yes
3,64,32,Yes,7,No
4,43,94,Yes,6,No
9,98,24,Yes,10,Yes
6,92,26,Yes,5,No
5,78,59,Yes,10,Yes
4,47,61,No,9,No
5,55,62,Yes,7,No
1,67,35,No,5,No
7,49,96,No,9,Yes
8,42,66,Yes,5,No
7,51,22,No,9,No
2,85,41,Yes,4,No
5,48,43,Yes,3,No
2,87,20,Yes,6,No
2,53,89,Yes,10,No
9,42,86,Yes,5,Yes
9,73,68,No,4,Yes
7,77,27,No,8,No
9,82,95,No,8,Yes
7,62,82,No,10,Yes
2,75,84,No,3,No
8,63,65,Yes,7,Yes
6,71,55,No,10,Yes
8,56,60,Yes,3,No
9,47,41,No,7,No
3,56,46,Yes,4,No
1,99,50,Yes,7,No
5,98,54,Yes,8,Yes
7,46,89,No,4,No
10,94,47,No,10,Yes
5,54,23,No,7,No
8,70,98,Yes,7,Yes
3,71,53,No,10,No
3,45,41,Yes,4,No
3,49,64,No,3,No
3,42,54,No,6,No
1,68,36,No,6,No
7,58,39,Yes,7,No
7,82,50,No,7,No
6,51,93,Yes,6,Yes
5,50,58,Yes,4,No
7,59,49,No,10,No
7,45,63,Yes,10,No
7,88,85,No,10,Yes
8,58,55,No,6,No
9,41,35,No,7,No
6,99,32,No,4,No
8,69,20,Yes,4,No
4,100,89,Yes,10,Yes
4,67,26,No,10,No
4,93,28,Yes,9,No
1,80,38,Yes,7,No
7,91,53,No,4,No
9,48,29,Yes,5,No
2,93,62,Yes,7,No
4,60,69,No,10,No
9,78,88,No,4,Yes
1,59,31,Yes,8,No
2,73,23,No,4,No
7,65,79,Yes,4,Yes
4,55,85,No,8,No
2,63,63,No,9,No
7,100,49,Yes,7,Yes
1,54,94,Yes,6,No
4,52,97,No,8,Yes
